event_id,session_id,user_id,video_id,video_duration_sec,event_type,position_sec,event_time
0,s0000000_v01,u0393,v01,447,play,0,2026-06-04T09:15:38
1,s0000000_v01,u0393,v01,447,heartbeat,15,2026-06-04T09:15:54
2,s0000000_v01,u0393,v01,447,heartbeat,30,2026-06-04T09:16:10
3,s0000000_v01,u0393,v01,447,heartbeat,45,2026-06-04T09:16:28
4,s0000000_v01,u0393,v01,447,heartbeat,60,2026-06-04T09:16:44
5,s0000000_v01,u0393,v01,447,heartbeat,75,2026-06-04T09:17:01
6,s0000000_v01,u0393,v01,447,heartbeat,90,2026-06-04T09:17:16
7,s0000000_v01,u0393,v01,447,heartbeat,105,2026-06-04T09:17:31
8,s0000000_v01,u0393,v01,447,pause,120,2026-06-04T09:17:47
9,s0000000_v01,u0393,v01,447,heartbeat,120,2026-06-04T09:17:47
10,s0000000_v01,u0393,v01,447,heartbeat,135,2026-06-04T09:18:02
11,s0000000_v01,u0393,v01,447,seek_back,150,2026-06-04T09:18:19
12,s0000000_v01,u0393,v01,447,heartbeat,133,2026-06-04T09:18:19
13,s0000000_v01,u0393,v01,447,heartbeat,148,2026-06-04T09:18:35
14,s0000000_v01,u0393,v01,447,seek_back,163,2026-06-04T09:18:53
15,s0000000_v01,u0393,v01,447,heartbeat,138,2026-06-04T09:18:53
16,s0000000_v01,u0393,v01,447,heartbeat,153,2026-06-04T09:19:08
17,s0000000_v01,u0393,v01,447,heartbeat,168,2026-06-04T09:19:23
18,s0000000_v01,u0393,v01,447,abandon,168,2026-06-04T09:19:23
19,s0000001_v01,u0207,v01,447,play,0,2026-06-19T00:12:54
20,s0000001_v01,u0207,v01,447,heartbeat,15,2026-06-19T00:13:11
21,s0000001_v01,u0207,v01,447,heartbeat,30,2026-06-19T00:13:27
22,s0000001_v01,u0207,v01,447,heartbeat,45,2026-06-19T00:13:45
23,s0000001_v01,u0207,v01,447,heartbeat,60,2026-06-19T00:14:00
24,s0000001_v01,u0207,v01,447,heartbeat,75,2026-06-19T00:14:15
25,s0000001_v01,u0207,v01,447,heartbeat,90,2026-06-19T00:14:30
26,s0000001_v01,u0207,v01,447,heartbeat,105,2026-06-19T00:14:46
27,s0000001_v01,u0207,v01,447,heartbeat,120,2026-06-19T00:15:02
28,s0000001_v01,u0207,v01,447,heartbeat,135,2026-06-19T00:15:18
29,s0000001_v01,u0207,v01,447,heartbeat,150,2026-06-19T00:15:35
30,s0000001_v01,u0207,v01,447,seek_back,165,2026-06-19T00:15:53
31,s0000001_v01,u0207,v01,447,heartbeat,146,2026-06-19T00:15:53
32,s0000001_v01,u0207,v01,447,abandon,146,2026-06-19T00:15:53
33,s0000002_v01,u0377,v01,447,play,0,2026-06-14T11:51:05
34,s0000002_v01,u0377,v01,447,heartbeat,15,2026-06-14T11:51:20
35,s0000002_v01,u0377,v01,447,heartbeat,30,2026-06-14T11:51:38
36,s0000002_v01,u0377,v01,447,heartbeat,45,2026-06-14T11:51:54
37,s0000002_v01,u0377,v01,447,heartbeat,60,2026-06-14T11:52:10
38,s0000002_v01,u0377,v01,447,heartbeat,75,2026-06-14T11:52:26
39,s0000002_v01,u0377,v01,447,heartbeat,90,2026-06-14T11:52:42
40,s0000002_v01,u0377,v01,447,heartbeat,105,2026-06-14T11:52:57
41,s0000002_v01,u0377,v01,447,heartbeat,120,2026-06-14T11:53:14
42,s0000002_v01,u0377,v01,447,heartbeat,135,2026-06-14T11:53:31
43,s0000002_v01,u0377,v01,447,heartbeat,150,2026-06-14T11:53:48
44,s0000002_v01,u0377,v01,447,heartbeat,165,2026-06-14T11:54:03
45,s0000002_v01,u0377,v01,447,heartbeat,180,2026-06-14T11:54:18
46,s0000002_v01,u0377,v01,447,abandon,180,2026-06-14T11:54:18
47,s0000003_v01,u0179,v01,447,play,0,2026-06-03T00:04:25
48,s0000003_v01,u0179,v01,447,heartbeat,15,2026-06-03T00:04:41
49,s0000003_v01,u0179,v01,447,heartbeat,30,2026-06-03T00:04:58
50,s0000003_v01,u0179,v01,447,heartbeat,45,2026-06-03T00:05:13
51,s0000003_v01,u0179,v01,447,heartbeat,60,2026-06-03T00:05:28
52,s0000003_v01,u0179,v01,447,heartbeat,75,2026-06-03T00:05:43
53,s0000003_v01,u0179,v01,447,heartbeat,90,2026-06-03T00:05:59
54,s0000003_v01,u0179,v01,447,heartbeat,105,2026-06-03T00:06:16
55,s0000003_v01,u0179,v01,447,heartbeat,120,2026-06-03T00:06:33
56,s0000003_v01,u0179,v01,447,heartbeat,135,2026-06-03T00:06:48
57,s0000003_v01,u0179,v01,447,seek_back,150,2026-06-03T00:07:05
58,s0000003_v01,u0179,v01,447,heartbeat,130,2026-06-03T00:07:05
59,s0000003_v01,u0179,v01,447,heartbeat,145,2026-06-03T00:07:22
60,s0000003_v01,u0179,v01,447,pause,160,2026-06-03T00:07:40
61,s0000003_v01,u0179,v01,447,heartbeat,160,2026-06-03T00:07:40
62,s0000003_v01,u0179,v01,447,heartbeat,175,2026-06-03T00:07:56
63,s0000003_v01,u0179,v01,447,heartbeat,190,2026-06-03T00:08:12
64,s0000003_v01,u0179,v01,447,heartbeat,205,2026-06-03T00:08:29
65,s0000003_v01,u0179,v01,447,heartbeat,220,2026-06-03T00:08:44
66,s0000003_v01,u0179,v01,447,heartbeat,235,2026-06-03T00:09:00
67,s0000003_v01,u0179,v01,447,heartbeat,250,2026-06-03T00:09:18
68,s0000003_v01,u0179,v01,447,heartbeat,265,2026-06-03T00:09:34
69,s0000003_v01,u0179,v01,447,heartbeat,280,2026-06-03T00:09:50
70,s0000003_v01,u0179,v01,447,heartbeat,295,2026-06-03T00:10:07
71,s0000003_v01,u0179,v01,447,heartbeat,310,2026-06-03T00:10:23
72,s0000003_v01,u0179,v01,447,heartbeat,325,2026-06-03T00:10:38
73,s0000003_v01,u0179,v01,447,heartbeat,340,2026-06-03T00:10:56
74,s0000003_v01,u0179,v01,447,heartbeat,355,2026-06-03T00:11:14
75,s0000003_v01,u0179,v01,447,heartbeat,370,2026-06-03T00:11:30
76,s0000003_v01,u0179,v01,447,heartbeat,385,2026-06-03T00:11:48
77,s0000003_v01,u0179,v01,447,heartbeat,400,2026-06-03T00:12:05
78,s0000003_v01,u0179,v01,447,heartbeat,415,2026-06-03T00:12:22
79,s0000003_v01,u0179,v01,447,heartbeat,430,2026-06-03T00:12:39
80,s0000003_v01,u0179,v01,447,pause,445,2026-06-03T00:12:56
81,s0000003_v01,u0179,v01,447,heartbeat,445,2026-06-03T00:12:56
82,s0000003_v01,u0179,v01,447,heartbeat,447,2026-06-03T00:13:13
83,s0000003_v01,u0179,v01,447,ended,447,2026-06-03T00:13:13
84,s0000004_v01,u0311,v01,447,play,0,2026-06-13T17:55:31
85,s0000004_v01,u0311,v01,447,heartbeat,15,2026-06-13T17:55:46
86,s0000004_v01,u0311,v01,447,pause,30,2026-06-13T17:56:03
87,s0000004_v01,u0311,v01,447,heartbeat,30,2026-06-13T17:56:03
88,s0000004_v01,u0311,v01,447,heartbeat,45,2026-06-13T17:56:19
89,s0000004_v01,u0311,v01,447,heartbeat,60,2026-06-13T17:56:36
90,s0000004_v01,u0311,v01,447,heartbeat,75,2026-06-13T17:56:51
91,s0000004_v01,u0311,v01,447,heartbeat,90,2026-06-13T17:57:08
92,s0000004_v01,u0311,v01,447,heartbeat,105,2026-06-13T17:57:25
93,s0000004_v01,u0311,v01,447,heartbeat,120,2026-06-13T17:57:43
94,s0000004_v01,u0311,v01,447,heartbeat,135,2026-06-13T17:58:00
95,s0000004_v01,u0311,v01,447,seek_back,150,2026-06-13T17:58:17
96,s0000004_v01,u0311,v01,447,heartbeat,127,2026-06-13T17:58:17
97,s0000004_v01,u0311,v01,447,heartbeat,142,2026-06-13T17:58:34
98,s0000004_v01,u0311,v01,447,heartbeat,157,2026-06-13T17:58:50
99,s0000004_v01,u0311,v01,447,heartbeat,172,2026-06-13T17:59:06
100,s0000004_v01,u0311,v01,447,heartbeat,187,2026-06-13T17:59:23
101,s0000004_v01,u0311,v01,447,heartbeat,202,2026-06-13T17:59:39
102,s0000004_v01,u0311,v01,447,heartbeat,217,2026-06-13T17:59:55
103,s0000004_v01,u0311,v01,447,heartbeat,232,2026-06-13T18:00:13
104,s0000004_v01,u0311,v01,447,heartbeat,247,2026-06-13T18:00:31
105,s0000004_v01,u0311,v01,447,heartbeat,262,2026-06-13T18:00:47
106,s0000004_v01,u0311,v01,447,heartbeat,277,2026-06-13T18:01:05
107,s0000004_v01,u0311,v01,447,heartbeat,292,2026-06-13T18:01:20
108,s0000004_v01,u0311,v01,447,heartbeat,307,2026-06-13T18:01:35
109,s0000004_v01,u0311,v01,447,heartbeat,322,2026-06-13T18:01:53
110,s0000004_v01,u0311,v01,447,heartbeat,337,2026-06-13T18:02:08
111,s0000004_v01,u0311,v01,447,heartbeat,352,2026-06-13T18:02:25
112,s0000004_v01,u0311,v01,447,heartbeat,367,2026-06-13T18:02:43
113,s0000004_v01,u0311,v01,447,heartbeat,382,2026-06-13T18:02:59
114,s0000004_v01,u0311,v01,447,heartbeat,397,2026-06-13T18:03:16
115,s0000004_v01,u0311,v01,447,heartbeat,412,2026-06-13T18:03:33
116,s0000004_v01,u0311,v01,447,heartbeat,427,2026-06-13T18:03:49
117,s0000004_v01,u0311,v01,447,heartbeat,442,2026-06-13T18:04:06
118,s0000004_v01,u0311,v01,447,heartbeat,447,2026-06-13T18:04:21
119,s0000004_v01,u0311,v01,447,ended,447,2026-06-13T18:04:21
120,s0000005_v01,u0356,v01,447,play,0,2026-06-05T01:00:55
121,s0000005_v01,u0356,v01,447,heartbeat,15,2026-06-05T01:01:11
122,s0000005_v01,u0356,v01,447,heartbeat,30,2026-06-05T01:01:29
123,s0000005_v01,u0356,v01,447,heartbeat,45,2026-06-05T01:01:47
124,s0000005_v01,u0356,v01,447,heartbeat,60,2026-06-05T01:02:02
125,s0000005_v01,u0356,v01,447,heartbeat,75,2026-06-05T01:02:20
126,s0000005_v01,u0356,v01,447,heartbeat,90,2026-06-05T01:02:37
127,s0000005_v01,u0356,v01,447,heartbeat,105,2026-06-05T01:02:55
128,s0000005_v01,u0356,v01,447,heartbeat,120,2026-06-05T01:03:11
129,s0000005_v01,u0356,v01,447,pause,135,2026-06-05T01:03:29
130,s0000005_v01,u0356,v01,447,heartbeat,135,2026-06-05T01:03:29
131,s0000005_v01,u0356,v01,447,heartbeat,150,2026-06-05T01:03:47
132,s0000005_v01,u0356,v01,447,heartbeat,165,2026-06-05T01:04:02
133,s0000005_v01,u0356,v01,447,pause,180,2026-06-05T01:04:17
134,s0000005_v01,u0356,v01,447,heartbeat,180,2026-06-05T01:04:17
135,s0000005_v01,u0356,v01,447,heartbeat,195,2026-06-05T01:04:32
136,s0000005_v01,u0356,v01,447,heartbeat,210,2026-06-05T01:04:50
137,s0000005_v01,u0356,v01,447,heartbeat,225,2026-06-05T01:05:08
138,s0000005_v01,u0356,v01,447,heartbeat,240,2026-06-05T01:05:26
139,s0000005_v01,u0356,v01,447,heartbeat,255,2026-06-05T01:05:41
140,s0000005_v01,u0356,v01,447,heartbeat,270,2026-06-05T01:05:58
141,s0000005_v01,u0356,v01,447,heartbeat,285,2026-06-05T01:06:13
142,s0000005_v01,u0356,v01,447,heartbeat,300,2026-06-05T01:06:29
143,s0000005_v01,u0356,v01,447,heartbeat,315,2026-06-05T01:06:45
144,s0000005_v01,u0356,v01,447,heartbeat,330,2026-06-05T01:07:01
145,s0000005_v01,u0356,v01,447,heartbeat,345,2026-06-05T01:07:18
146,s0000005_v01,u0356,v01,447,heartbeat,360,2026-06-05T01:07:33
147,s0000005_v01,u0356,v01,447,heartbeat,375,2026-06-05T01:07:50
148,s0000005_v01,u0356,v01,447,heartbeat,390,2026-06-05T01:08:07
149,s0000005_v01,u0356,v01,447,heartbeat,405,2026-06-05T01:08:25
150,s0000005_v01,u0356,v01,447,heartbeat,420,2026-06-05T01:08:40
151,s0000005_v01,u0356,v01,447,heartbeat,435,2026-06-05T01:08:56
152,s0000005_v01,u0356,v01,447,heartbeat,447,2026-06-05T01:09:11
153,s0000005_v01,u0356,v01,447,ended,447,2026-06-05T01:09:11
154,s0000006_v01,u0022,v01,447,play,0,2026-06-09T18:15:39
155,s0000006_v01,u0022,v01,447,heartbeat,15,2026-06-09T18:15:57
156,s0000006_v01,u0022,v01,447,pause,30,2026-06-09T18:16:14
157,s0000006_v01,u0022,v01,447,heartbeat,30,2026-06-09T18:16:14
158,s0000006_v01,u0022,v01,447,heartbeat,45,2026-06-09T18:16:32
159,s0000006_v01,u0022,v01,447,heartbeat,60,2026-06-09T18:16:50
160,s0000006_v01,u0022,v01,447,heartbeat,75,2026-06-09T18:17:07
161,s0000006_v01,u0022,v01,447,heartbeat,90,2026-06-09T18:17:25
162,s0000006_v01,u0022,v01,447,heartbeat,105,2026-06-09T18:17:42
163,s0000006_v01,u0022,v01,447,heartbeat,120,2026-06-09T18:17:57
164,s0000006_v01,u0022,v01,447,heartbeat,135,2026-06-09T18:18:15
165,s0000006_v01,u0022,v01,447,seek_back,150,2026-06-09T18:18:32
166,s0000006_v01,u0022,v01,447,pause,130,2026-06-09T18:18:32
167,s0000006_v01,u0022,v01,447,heartbeat,130,2026-06-09T18:18:32
168,s0000006_v01,u0022,v01,447,heartbeat,145,2026-06-09T18:18:49
169,s0000006_v01,u0022,v01,447,heartbeat,160,2026-06-09T18:19:06
170,s0000006_v01,u0022,v01,447,heartbeat,175,2026-06-09T18:19:22
171,s0000006_v01,u0022,v01,447,heartbeat,190,2026-06-09T18:19:40
172,s0000006_v01,u0022,v01,447,heartbeat,205,2026-06-09T18:19:55
173,s0000006_v01,u0022,v01,447,heartbeat,220,2026-06-09T18:20:11
174,s0000006_v01,u0022,v01,447,heartbeat,235,2026-06-09T18:20:29
175,s0000006_v01,u0022,v01,447,heartbeat,250,2026-06-09T18:20:46
176,s0000006_v01,u0022,v01,447,heartbeat,265,2026-06-09T18:21:03
177,s0000006_v01,u0022,v01,447,heartbeat,280,2026-06-09T18:21:19
178,s0000006_v01,u0022,v01,447,heartbeat,295,2026-06-09T18:21:35
179,s0000006_v01,u0022,v01,447,heartbeat,310,2026-06-09T18:21:52
180,s0000006_v01,u0022,v01,447,heartbeat,325,2026-06-09T18:22:09
181,s0000006_v01,u0022,v01,447,heartbeat,340,2026-06-09T18:22:26
